id,brand,model,release_year,collected_at,source_url,confidence,memory_type,capacity_gb,module_count,speed_mhz,cas_latency
corsair-vengeance-ddr5-32gb-6000,Corsair,VENGEANCE 32GB (2x16GB) DDR5-6000 CL30,,2026-08-19,https://www.corsair.com/ww/en/p/memory/cmk32gx5m2b6000c30/vengeance-32gb-2x16gb-ddr5-dram-6000mt-s-c30-memory-kit-black-cmk32gx5m2b6000c30,high,DDR5,32,2,6000,30
corsair-vengeance-ddr5-64gb-6000,Corsair,VENGEANCE 64GB (2x32GB) DDR5-6000 CL30,,2026-08-19,https://www.corsair.com/us/en/p/memory/cmk64gx5m2b6000c30/vengeance-64gb-2x32gb-ddr5-dram-6000mt-s-cl30-memory-kit-black-cmk64gx5m2b6000c30,high,DDR5,64,2,6000,30
