id,brand,model,release_year,collected_at,source_url,confidence,storage_type,capacity_gb,interface,read_speed_mbs
samsung-990-pro-2tb,Samsung,990 PRO 2TB,,2026-08-19,https://www.samsung.com/us/memory-storage/nvme-ssd/990-pro-pcie-4-0-nvme-ssd-1tb-sku-mz-v9p2t0b-am/,high,nvme,2000,PCIe 4.0 NVMe M.2,7450
samsung-990-evo-plus-1tb,Samsung,990 EVO Plus 1TB (MZ-V9S1T0B/AM),,2026-08-19,https://www.samsung.com/us/memory-storage/nvme-ssd/990-evo-plus-gen4-nvme-ssd-1tb-sku-mz-v9s1t0b-am/,high,nvme,1000,PCIe 4.0 NVMe M.2,7150
samsung-9100-pro-1tb,Samsung,9100 PRO 1TB (MZ-VAP1T0B/AM),,2026-08-19,https://www.samsung.com/us/memory-storage/nvme-ssd/9100-pro-nvme-ssd-sku-mz-vap1t0b-am/,high,nvme,1000,PCIe 5.0 NVMe M.2,14800
samsung-870-evo-1tb,Samsung,870 EVO SATA III 2.5 inch 1TB (MZ-77E1T0B/AM),,2026-08-19,https://www.samsung.com/us/memory-storage/sata-ssd/870-evo-sata-2-5-ssd-1tb-sku-mz-77e1t0b-am/,high,sata-ssd,1000,SATA III,560
